[4/18/2023, 12:25:29 AM] server	 users-routes.js - [object Object]
[4/18/2023, 12:25:58 AM] server	 users-routes.js - [object Object]
[4/18/2023, 12:29:32 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:34:38 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:36:07 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:36:08 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:37:27 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:38:42 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:47:26 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:50:24 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:50:57 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:51:36 AM] server	 users-routes.js - Internal server error
[4/18/2023, 12:53:36 AM] server	 users-routes.js - Internal server error
[4/18/2023, 1:00:02 AM] server	 users-routes.js - Internal server error
